,country,country_x,country_y,index,jurisdiction_x,jurisdiction_y,level_0,location_x,location_y,mealsAndIncidentals_x,mealsAndIncidentals_y,season_x,season_y,slug,slug_x,slug_y,total_x,total_y,diff
299,,RWANDA,RWANDA,124,US,UK,299,Kigali,Kigali,88.0,,S1,,rwanda-kigali,,,291.0,202.07638429858193,0.4400495189483757
300,,RWANDA,Rwanda,124,US,UN,300,Kigali,Kigali,88.0,,S1,,rwanda-kigali,,,291.0,185.0,0.572972972972973
301,,SAO TOME AND PRINCIPE,Sao Tomé and Principe,125,US,Canada,301,Sao Tome,Sao Tomé,117.0,,S1,,sao-tome-and-principe-sao-tome,,,271.0,117.48,-0.004085801838610861
302,,SAO TOME AND PRINCIPE,Sao Tome and Principe,125,US,UN,302,Sao Tome,Sao Tome,117.0,,S1,,sao-tome-and-principe-sao-tome,,,271.0,167.0,0.6227544910179641
303,,SAUDI ARABIA,Saudi Arabia,126,US,Canada,303,Riyadh,Riyadh,126.0,,S1,,saudi-arabia-riyadh,,,485.0,173.1884042495557,-0.27246861274591805
304,,SAUDI ARABIA,SAUDI ARABIA,126,US,UK,304,Riyadh,Riyadh,126.0,,S1,,saudi-arabia-riyadh,,,485.0,309.0745265540081,0.5692008183510083
305,,SAUDI ARABIA,Saudi Arabia,126,US,UN,305,Riyadh,Riyadh,126.0,,S1,,saudi-arabia-riyadh,,,485.0,381.0,0.27296587926509186
306,,SENEGAL,Senegal,127,US,Canada,306,Dakar,Dakar,117.0,,S1,,senegal-dakar,,,297.0,104.85692910252916,0.11580608932002323
307,,SENEGAL,SENEGAL,127,US,UK,307,Dakar,Dakar,117.0,,S1,,senegal-dakar,,,297.0,211.12646809523795,0.40673977393504723
308,,SENEGAL,Senegal,127,US,UN,308,Dakar,Dakar,117.0,,S1,,senegal-dakar,,,297.0,284.0,0.045774647887323945
309,,SERBIA,Serbia,128,US,Canada,309,Belgrade,Belgrade,89.0,,S1,,serbia-belgrade,,,290.0,67.90679643,0.3106199184604945
310,,SERBIA,SERBIA,128,US,UK,310,Belgrade,Belgrade,89.0,,S1,,serbia-belgrade,,,290.0,302.35807042883755,-0.04087230220549421
311,,SERBIA,Serbia,128,US,UN,311,Belgrade,Belgrade,89.0,,S1,,serbia-belgrade,,,290.0,180.0,0.6111111111111112
312,,SIERRA LEONE,Sierra Leone,129,US,Canada,312,Freetown,Freetown,129.0,,S1,,sierra-leone-freetown,,,319.0,80.88150388838329,0.594925833451618
313,,SIERRA LEONE,SIERRA LEONE,129,US,UK,313,Freetown,Freetown,129.0,,S1,,sierra-leone-freetown,,,319.0,192.85909362099517,0.6540573431652423
314,,SIERRA LEONE,Sierra Leone,129,US,UN,314,Freetown,Freetown,129.0,,S1,,sierra-leone-freetown,,,319.0,268.0,0.19029850746268656
315,,SINGAPORE,Singapore,130,US,Canada,315,Singapore,Singapore,135.0,,S1,,singapore,,,425.0,181.8909782286853,-0.2577971633630497
316,,SINGAPORE,SINGAPORE,130,US,UK,316,Singapore,Singapore,135.0,,S1,,singapore,,,425.0,400.74631835981313,0.0605212837374354
317,,SINGAPORE,Singapore,130,US,UN,317,Singapore,All Areas,135.0,,S1,,singapore,,,425.0,409.0,0.039119804400977995
318,,Slovakia,Slovakia,131,US,Canada,318,Bratislava,Bratislava,112.0,,S1,,slovakia-bratislava,,,298.0,126.95922789,-0.11782702319961308
319,,Slovakia,SLOVAKIA,131,US,UK,319,Bratislava,Bratislava,112.0,,S1,,slovakia-bratislava,,,298.0,191.319612,0.5576029915845742
320,,SLOVENIA,Slovenia,132,US,Canada,320,Ljubljana,Ljubljana,106.0,,S1,,slovenia-ljubljana,,,284.0,120.49635807,-0.12030536276937619
321,,SLOVENIA,SLOVENIA,132,US,UK,321,Ljubljana,Ljubljana,106.0,,S1,,slovenia-ljubljana,,,284.0,249.648762,0.1375982709659902
322,,SOUTH AFRICA,South Africa,133,US,Canada,322,Pretoria,Pretoria,111.0,,S1,,south-africa-pretoria,,,323.0,63.36838080345906,0.7516622421562789
323,,SOUTH AFRICA,SOUTH AFRICA,133,US,UK,323,Pretoria,Pretoria,111.0,,S1,,south-africa-pretoria,,,323.0,124.72972541802838,1.5895992227792857
